year,rating,primaryTitle,imdbid,isAdult,runtimeMinutes,genres,averageRating,numVotes,titleType,genres_labels
1894,0,Miss Jerry,0000009,0,45,Romance,5.4,227.0,movie,['Romance']
1906,1,The Story of the Kelly Gang,0000574,0,70,"Action,Adventure,Biography",6.0,1006.0,movie,"['Action', 'Adventure', 'Biography']"
1912,2,Cleopatra,0002101,0,100,"Drama,History",5.1,649.0,movie,"['Drama', 'History']"
1914,2,A Florida Enchantment,0003973,0,63,Comedy,5.7,328.0,movie,['Comedy']
1915,2,The Birth of a Nation,0004972,0,195,"Drama,War",6.1,27622.0,movie,"['Drama', 'War']"
1915,0,Hypocrites,0004134,0,54,"Drama,Fantasy",6.4,791.0,movie,"['Drama', 'Fantasy']"
1916,3,Gretchen the Greenhorn,0006745,0,58,"Crime,Drama,Romance",6.4,549.0,movie,"['Crime', 'Drama', 'Romance']"
1916,3,Lady Windermere's Fan,0279914,0,66,"Comedy,Drama",5.3,72.0,movie,"['Comedy', 'Drama']"
1916,0,Intolerance,0006864,0,163,"Drama,History",7.7,17508.0,movie,"['Drama', 'History']"
1916,3,Snow White,0007361,0,63,"Fantasy,Romance",6.3,492.0,movie,"['Fantasy', 'Romance']"
1917,3,A Tale of Two Cities,0008652,0,70,"Drama,History,Romance",6.1,173.0,movie,"['Drama', 'History', 'Romance']"
1917,3,Rebecca of Sunnybrook Farm,0008499,0,78,"Comedy,Drama",6.3,919.0,movie,"['Comedy', 'Drama']"
1917,3,The Poor Little Rich Girl,0008443,0,78,"Comedy,Drama,Family",6.7,1617.0,movie,"['Comedy', 'Drama', 'Family']"
1917,0,A Romance of the Redwoods,0008519,0,70,"Adventure,Comedy,Drama",6.1,898.0,movie,"['Adventure', 'Comedy', 'Drama']"
1917,2,"Raffles, the Amateur Cracksman",0008489,0,70,"Adventure,Crime,Romance",6.4,204.0,movie,"['Adventure', 'Crime', 'Romance']"
1918,3,Tarzan of the Apes,0009682,0,73,"Action,Adventure",5.7,983.0,movie,"['Action', 'Adventure']"
1918,3,Stella Maris,0009652,0,84,Drama,6.8,1649.0,movie,['Drama']
1918,3,I Don't Want to Be a Man,0010281,0,45,"Comedy,Romance",6.8,1762.0,movie,"['Comedy', 'Romance']"
1919,3,When the Clouds Roll by,0010879,0,85,"Action,Comedy,Romance",6.8,1030.0,movie,"['Action', 'Comedy', 'Romance']"
1919,0,Broken Blossoms,0009968,0,90,"Drama,Romance",7.2,11525.0,movie,"['Drama', 'Romance']"
1920,0,The Cabinet of Dr. Caligari,0010323,0,67,"Horror,Mystery,Thriller",8.0,73903.0,movie,"['Horror', 'Mystery', 'Thriller']"
1920,3,Pollyanna,0011588,0,58,"Comedy,Drama,Family",6.4,549.0,movie,"['Comedy', 'Drama', 'Family']"
1920,3,Within Our Gates,0011870,0,79,"Drama,Romance",6.4,3895.0,movie,"['Drama', 'Romance']"
1921,3,Orphans of the Storm,0012532,0,150,"Drama,History,Romance",7.3,5671.0,movie,"['Drama', 'History', 'Romance']"
1921,0,The Kid,0012349,0,68,"Comedy,Drama,Family",8.2,142304.0,movie,"['Comedy', 'Drama', 'Family']"
1921,3,The Blot,0011979,0,91,"Drama,Romance",6.7,741.0,movie,"['Drama', 'Romance']"
1921,2,The Phantom Carriage,0012364,0,107,"Drama,Fantasy,Horror",8.0,15147.0,movie,"['Drama', 'Fantasy', 'Horror']"
1922,2,Nosferatu: A Symphony of Horror,0013442,0,94,"Fantasy,Horror",7.8,119691.0,movie,"['Fantasy', 'Horror']"
1922,2,Phantom,0013496,0,125,"Drama,Romance",6.7,2051.0,movie,"['Drama', 'Romance']"
1922,2,Nathan der Weise,0013428,0,128,"Drama,History",6.9,158.0,movie,"['Drama', 'History']"
1922,1,The Man from Beyond,0013367,0,74,"Drama,Mystery,Romance",5.3,360.0,movie,"['Drama', 'Mystery', 'Romance']"
1922,3,Häxan,0013257,0,91,"Documentary,Fantasy,Horror",7.6,18202.0,movie,"['Documentary', 'Fantasy', 'Horror']"
1922,1,Nanook of the North,0013427,0,78,Documentary,7.6,14039.0,movie,['Documentary']
1922,3,Foolish Wives,0013140,0,117,"Drama,Thriller",7.0,4259.0,movie,"['Drama', 'Thriller']"
1922,3,"Dr. Mabuse, the Gambler",0013086,0,195,"Crime,Mystery,Thriller",7.8,9657.0,movie,"['Crime', 'Mystery', 'Thriller']"
1923,0,Safety Last!,0014429,0,74,"Action,Comedy,Romance",8.1,24140.0,movie,"['Action', 'Comedy', 'Romance']"
1923,0,Why Worry?,0014611,0,63,"Adventure,Comedy,Family",7.3,2171.0,movie,"['Adventure', 'Comedy', 'Family']"
1923,2,The Silent Command,0014469,0,80,Drama,5.9,115.0,movie,['Drama']
1923,0,Our Hospitality,0014341,0,65,"Comedy,Romance,Thriller",7.7,13154.0,movie,"['Comedy', 'Romance', 'Thriller']"
1923,2,A Woman of Paris: A Drama of Fate,0014624,0,82,"Drama,Romance",6.9,6642.0,movie,"['Drama', 'Romance']"
1924,2,Die Nibelungen: Siegfried,0015175,0,100,"Adventure,Drama,Fantasy",8.1,6991.0,movie,"['Adventure', 'Drama', 'Fantasy']"
1924,2,Die Nibelungen: Kriemhild's Revenge,0015174,0,129,"Adventure,Drama,Fantasy",7.9,5342.0,movie,"['Adventure', 'Drama', 'Fantasy']"
1924,0,The Thief of Bagdad,0015400,0,155,"Adventure,Family,Fantasy",7.7,7424.0,movie,"['Adventure', 'Family', 'Fantasy']"
1924,0,Wild Oranges,0015498,0,88,"Drama,Romance",6.7,580.0,movie,"['Drama', 'Romance']"
1924,0,The Navigator,0015163,0,59,"Action,Adventure,Comedy",7.5,11715.0,movie,"['Action', 'Adventure', 'Comedy']"
1924,0,Sherlock Jr.,0015324,0,45,"Action,Comedy,Romance",8.2,62967.0,movie,"['Action', 'Comedy', 'Romance']"
1924,0,Girl Shy,0014945,0,87,"Comedy,Romance",7.7,3864.0,movie,"['Comedy', 'Romance']"
1924,3,Manhandled,0015116,0,75,"Comedy,Drama",6.7,1187.0,movie,"['Comedy', 'Drama']"
1924,0,The Great White Silence,1764657,0,80,Documentary,7.9,1912.0,movie,['Documentary']
1924,3,Greed,0015881,0,140,"Drama,Thriller,Western",8.0,11301.0,movie,"['Drama', 'Thriller', 'Western']"
1925,2,The Phantom of the Opera,0016220,0,93,"Horror,Music",7.5,21335.0,movie,"['Horror', 'Music']"
1925,0,Battleship Potemkin,0015648,0,66,"Drama,History,Thriller",7.9,63645.0,movie,"['Drama', 'History', 'Thriller']"
1925,0,The Gold Rush,0015864,0,95,"Adventure,Comedy,Drama",8.1,125143.0,movie,"['Adventure', 'Comedy', 'Drama']"
1925,0,Go West,0015863,0,83,"Comedy,Western",7.1,5354.0,movie,"['Comedy', 'Western']"
1925,0,The Freshman,0015841,0,77,"Comedy,Family,Romance",7.5,6383.0,movie,"['Comedy', 'Family', 'Romance']"
1925,0,Seven Chances,0016332,0,56,"Comedy,Romance",7.8,12541.0,movie,"['Comedy', 'Romance']"
1925,2,The Lost World,0016039,0,110,"Adventure,Fantasy,Horror",6.9,6237.0,movie,"['Adventure', 'Fantasy', 'Horror']"
1925,2,The Big Parade,0015624,0,151,"Drama,Romance,War",7.9,7632.0,movie,"['Drama', 'Romance', 'War']"
1925,0,Strike,0015361,0,82,Drama,7.6,9159.0,movie,['Drama']
1926,1,The Temptress,0017449,0,62,"Drama,Romance",6.9,1426.0,movie,"['Drama', 'Romance']"
1926,1,Flesh and the Devil,0016884,0,112,"Drama,Romance",7.6,4825.0,movie,"['Drama', 'Romance']"
1926,0,The General,0017925,0,78,"Action,Adventure,Comedy",8.1,103551.0,movie,"['Action', 'Adventure', 'Comedy']"
1926,0,For Heaven's Sake,0016895,0,58,"Action,Comedy,Romance",7.5,2067.0,movie,"['Action', 'Comedy', 'Romance']"
1926,3,So's Your Old Man,0017410,0,67,"Comedy,Romance",6.5,257.0,movie,"['Comedy', 'Romance']"
1926,1,The Adventures of Prince Achmed,0015532,0,80,"Adventure,Animation,Drama",7.8,7413.0,movie,"['Adventure', 'Animation', 'Drama']"
1927,3,It,0018033,0,72,"Comedy,Romance",7.2,3845.0,movie,"['Comedy', 'Romance']"
1927,1,Metropolis,0017136,0,153,"Drama,Sci-Fi",8.3,195887.0,movie,"['Drama', 'Sci-Fi']"
1927,2,Napoleon,0018192,0,330,"Biography,Drama,History",8.2,9454.0,movie,"['Biography', 'Drama', 'History']"
1927,0,The Unknown,0018528,0,68,"Drama,Horror,Romance",7.7,9899.0,movie,"['Drama', 'Horror', 'Romance']"
1927,2,Sunrise,0018455,0,94,"Drama,Romance",8.1,55654.0,movie,"['Drama', 'Romance']"
