Average IMDb Rating,Number of IMDb Votes,Bechdel Test Rating,Movie Title,Year,Genres
5.4,227.0,0,Miss Jerry,1894,Romance
6.0,1006.0,1,The Story of the Kelly Gang,1906,"Action,Adventure,Biography"
5.1,649.0,2,Cleopatra,1912,"Drama,History"
5.7,328.0,2,A Florida Enchantment,1914,Comedy
6.1,27622.0,2,The Birth of a Nation,1915,"Drama,War"
6.4,791.0,0,Hypocrites,1915,"Drama,Fantasy"
6.4,549.0,3,Gretchen the Greenhorn,1916,"Crime,Drama,Romance"
5.3,72.0,3,Lady Windermere's Fan,1916,"Comedy,Drama"
7.7,17508.0,0,Intolerance,1916,"Drama,History"
6.3,492.0,3,Snow White,1916,"Fantasy,Romance"
6.1,173.0,3,A Tale of Two Cities,1917,"Drama,History,Romance"
6.3,919.0,3,Rebecca of Sunnybrook Farm,1917,"Comedy,Drama"
6.7,1617.0,3,The Poor Little Rich Girl,1917,"Comedy,Drama,Family"
6.1,898.0,0,A Romance of the Redwoods,1917,"Adventure,Comedy,Drama"
6.4,204.0,2,"Raffles, the Amateur Cracksman",1917,"Adventure,Crime,Romance"
5.7,983.0,3,Tarzan of the Apes,1918,"Action,Adventure"
6.8,1649.0,3,Stella Maris,1918,Drama
6.8,1762.0,3,I Don't Want to Be a Man,1918,"Comedy,Romance"
6.8,1030.0,3,When the Clouds Roll by,1919,"Action,Comedy,Romance"
7.2,11525.0,0,Broken Blossoms,1919,"Drama,Romance"
8.0,73903.0,0,The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller"
6.4,549.0,3,Pollyanna,1920,"Comedy,Drama,Family"
6.4,3895.0,3,Within Our Gates,1920,"Drama,Romance"
7.3,5671.0,3,Orphans of the Storm,1921,"Drama,History,Romance"
8.2,142304.0,0,The Kid,1921,"Comedy,Drama,Family"
6.7,741.0,3,The Blot,1921,"Drama,Romance"
8.0,15147.0,2,The Phantom Carriage,1921,"Drama,Fantasy,Horror"
7.8,119691.0,2,Nosferatu: A Symphony of Horror,1922,"Fantasy,Horror"
6.7,2051.0,2,Phantom,1922,"Drama,Romance"
6.9,158.0,2,Nathan der Weise,1922,"Drama,History"
5.3,360.0,1,The Man from Beyond,1922,"Drama,Mystery,Romance"
7.6,18202.0,3,Häxan,1922,"Documentary,Fantasy,Horror"
7.6,14039.0,1,Nanook of the North,1922,Documentary
7.0,4259.0,3,Foolish Wives,1922,"Drama,Thriller"
7.8,9657.0,3,"Dr. Mabuse, the Gambler",1922,"Crime,Mystery,Thriller"
8.1,24140.0,0,Safety Last!,1923,"Action,Comedy,Romance"
7.3,2171.0,0,Why Worry?,1923,"Adventure,Comedy,Family"
5.9,115.0,2,The Silent Command,1923,Drama
7.7,13154.0,0,Our Hospitality,1923,"Comedy,Romance,Thriller"
6.9,6642.0,2,A Woman of Paris: A Drama of Fate,1923,"Drama,Romance"
8.1,6991.0,2,Die Nibelungen: Siegfried,1924,"Adventure,Drama,Fantasy"
7.9,5342.0,2,Die Nibelungen: Kriemhild's Revenge,1924,"Adventure,Drama,Fantasy"
7.7,7424.0,0,The Thief of Bagdad,1924,"Adventure,Family,Fantasy"
6.7,580.0,0,Wild Oranges,1924,"Drama,Romance"
7.5,11715.0,0,The Navigator,1924,"Action,Adventure,Comedy"
8.2,62967.0,0,Sherlock Jr.,1924,"Action,Comedy,Romance"
7.7,3864.0,0,Girl Shy,1924,"Comedy,Romance"
6.7,1187.0,3,Manhandled,1924,"Comedy,Drama"
7.9,1912.0,0,The Great White Silence,1924,Documentary
8.0,11301.0,3,Greed,1924,"Drama,Thriller,Western"
7.5,21335.0,2,The Phantom of the Opera,1925,"Horror,Music"
7.9,63645.0,0,Battleship Potemkin,1925,"Drama,History,Thriller"
8.1,125143.0,0,The Gold Rush,1925,"Adventure,Comedy,Drama"
7.1,5354.0,0,Go West,1925,"Comedy,Western"
7.5,6383.0,0,The Freshman,1925,"Comedy,Family,Romance"
7.8,12541.0,0,Seven Chances,1925,"Comedy,Romance"
6.9,6237.0,2,The Lost World,1925,"Adventure,Fantasy,Horror"
7.9,7632.0,2,The Big Parade,1925,"Drama,Romance,War"
7.6,9159.0,0,Strike,1925,Drama
6.9,1426.0,1,The Temptress,1926,"Drama,Romance"
7.6,4825.0,1,Flesh and the Devil,1926,"Drama,Romance"
